
"Id","Nombre","PrecioRebaja","PrecioNormal","Imagen","Modelo","Categoria","Subcategoria"
"92","Juego De Aro De Pistón",,"$ 168.07","ASSETS\vo20509932.png","Camiones Volvo","FM - FMX","Motor"
"93","Tapa",,"$ 84.79","ASSETS\vo21584844_1.png","Camiones Volvo","FM - FMX","Motor"
"94","Tapa De Llenado",,"$ 160.85","ASSETS\vo22335632__1.jpg","Camiones Volvo","FM - FMX","Motor"
"95","Balancín De Inyector",,"$ 513.26","ASSETS\vo-21881195.jpg","Camiones Volvo","FM - FMX","Motor"
"96","Válvula De Admisión",,"$ 222.63","ASSETS\vo23766594.jpg","Camiones Volvo","FM - FMX","Motor"
"97","Tuerca Embridada",,"$ 2.80","ASSETS\vo1543499_1.png","Camiones Volvo","FM - FMX","Motor"
"98","Cubo Ventilador",,"$ 48.12","ASSETS\vo20571854_-_001.png","Camiones Volvo","FM - FMX","Motor"
"99","Balancín",,"$ 349.36","ASSETS\balancin-vo-21637266.jpg","Camiones Volvo","FM - FMX","Motor"
"100","Sensor De Nivel",,"$ 77.77","ASSETS\vo-21399626.jpg","Camiones Volvo","FM - FMX","Motor"
"101","Filtro De Aire",,"$ 81.42","ASSETS\small_image.jpg","Camiones Volvo","FM - FMX","Motor"
"102","Interruptor De Presión",,"$ 165.64","ASSETS\vo20424051_-_001.jpg","Camiones Volvo","FM - FMX","Motor"
"103","Junta",,"$ 67.28","ASSETS\vo21574409_-_001.png","Camiones Volvo","FM - FMX","Motor"
"104","Moldura De Retén",,"$ 20.06","ASSETS\vo20479636_-_001.jpg","Camiones Volvo","FM - FMX","Motor"
"105","Moldura De Retén",,"$ 39.77","ASSETS\vo20489341_-_001.png","Camiones Volvo","FM - FMX","Motor"
"106","Moldura De Retén",,"$ 36.04","ASSETS\vo20714247_-_001.png","Camiones Volvo","FM - FMX","Motor"
"107","Esparrago",,"$ 20.01","ASSETS\vo21345127_-_001.png","Camiones Volvo","FM - FMX","Motor"
"108","Anillo Tórico",,"$ 32.28","ASSETS\vo995658_-_001.jpg","Camiones Volvo","FM - FMX","Motor"
"109","Bomba De Aceite",,"$ 1,262.69","ASSETS\vo22397140_-_001.jpg","Camiones Volvo","FM - FMX","Motor"
